ClassName,CourseName,City,State
old_sandwich,Old Sandwich,Plymouth,MA
oakland_hillssouth,Oakland Hills(South),Bloomfield Township,MI
shepherds_hollow,Shepherd's Hollow,Clarkston,MI
paa_ko_ridge_golf_club,Paa-Ko Ridge Golf Club,Sandia Park,NM
elk_ridge,Elk Ridge,Atlanta,MI
wade_hampton,Wade Hampton,Cashiers,NC
quarry_oaks,Quarry Oaks,Ashland,NE
true_blue,True Blue,Pawleys Island,SC
red_hawk_,Red Hawk ,East Tawas,MI
galloway_national,Galloway National,Galloway,NJ
troon_north_golf_club_monument,Troon North Golf Club (Monument),Scottsdale,AZ
karsten_creek_golf_club,Karsten Creek Golf Club,Stillwater,OK
grayhawk_golf_club_talon,Grayhawk Golf Club (Talon),Scottsdale,AZ
laurel_valley,Laurel Valley,Ligonier,PA
nemacolin_woodlands_galles,Nemacolin Woodlands (Galles),Farmington,PA
indianwood_old,Indianwood (Old),Orion charter Township,MI
cascata,Cascata,Boulder City,NV
erin_hills_golf_course,Erin Hills Golf Course,Hartford,WI
hawktree,Hawktree,Bismarck,ND
rich_harvest_links,Rich Harvest Links,Sugar Grove,IL
the_legend_at_giants_ridge,The Legend at Giants Ridge,Aurora,MN
bethpageblack,Bethpage(Black),Farmingdale,NY
firestonesouth,Firestone(South),Akron,OH
yeamans_hall,Yeamans Hall,Hanahan,SC
pilgrams_run,Pilgram's Run,Sand Lake,MI
blackwolf_run_river,Blackwolf Run (River),Sheboygan Falls,WI
longaberger,Longaberger,Nashport,OH
oak_hill_east,Oak Hill (East),Rochester,NY
chambers_bay,Chambers Bay,Tacoma,WA
old_macdonald,Old Macdonald,Bandon,OR
california_golf_clubs_of_san_francisco,California Golf Clubs of San Francisco,San Francisco,CA
semiahmoo_loomis_trail,Semiahmoo (Loomis Trail),Blaine,WA
sebonack,Sebonack,Southampton,NY
point_owoods,Point O'Woods,Benton Harbor,MI
myrtle_beach_national_kings_north,Myrtle Beach National (King's North),Myrtle Beach,SC
salem,Salem,Peabody,MA
