name,lat,lon,city,url,clat,clon,cname,cid,cthumb,slope,rating,par,holes,yardage
Butler National,41.840748,-87.93243,Oak Brook,http://www.golfadvisor.com//courses/14957-butler-national-golf-club/,41.84085246,-87.93251038,Butler National Golf Club,14957,//cdn.gdol.com/app/courses/image/thumb/65382.jpg,152,78.1,72,18,7523
Olympia Fields (North),41.519633,-87.68689,Olympia Fields,http://www.golfadvisor.com//courses/14958-north-at-olympia-fields-country-club/,41.52486995,-87.68520109,North at Olympia Fields Country Club,14958,//cdn.gdol.com/app/courses/image/thumb/36610.jpg,147,75.9,70,18,7273
Chicago,41.8448,-88.116,Wheaton,http://www.golfadvisor.com//courses/14960-chicago-golf-club/,41.84912911,-88.1148526,Chicago Golf Club,14960,//cdn.gdol.com/app/courses/image/thumb/36122.jpg,135,73.4,70,18,6846
Crooked Stick,39.9479,-86.194,Carmel,http://www.golfadvisor.com//courses/14961-crooked-stick-golf-club/,39.94797667,-86.19311031,Crooked Stick Golf Club,14961,//cdn.gdol.com/app/courses/image/thumb/67076.jpg,148,77.7,72,18,7516
Prairie Dunes,38.091,-97.84,Hutchinson,http://www.golfadvisor.com//courses/14962-prairie-dunes-country-club/,38.09256717,-97.84742371,Prairie Dunes Country Club,14962,//cdn.gdol.com/app/courses/image/thumb/62467.jpg,141,74.3,70,18,6759
Sugarloaf,45.054246,-70.30886,Carrabassett Valley,http://www.golfadvisor.com//courses/14963-sugarloaf-golf-club-resort/,45.06390566,-70.33478079,Sugarloaf Golf Club & Resort,14963,//cdn.gdol.com/app/courses/image/thumb/58316.jpg,151,74.4,72,18,6910
Congressional (Blue),38.996,-77.17,Bethesda,http://www.golfadvisor.com//courses/14964-blue-at-congressional-country-club/,38.99877517,-77.18281746,Blue at Congressional Country Club,14964,//cdn.gdol.com/app/courses/image/thumb/67237.jpg,142,75.4,72,18,7278
Kittansett,41.676988,-70.71678,Marion,http://www.golfadvisor.com//courses/14967-kittansett-club-the/,41.67782903,-70.71682723,"Kittansett Club, The",14967,//cdn.gdol.com/app/courses/image/thumb/1368.jpg,140,73.8,71,18,6811
Salem,42.528502,-70.97055,Peabody,http://www.golfadvisor.com//courses/14969-salem-country-club/,42.53001716,-70.96170416,Salem Country Club,14969,//cdn.gdol.com/app/courses/image/thumb/42720.jpg,134,73.5,72,18,6823
Nantucket,41.270299,-69.982478,Nantucket,http://www.golfadvisor.com//courses/14970-nantucket-golf-club-the/,41.2707433,-69.98160259,"Nantucket Golf Club, The",14970,//cdn.gdol.com/app/courses/image/thumb/62619.jpg,139,75,72,18,7081
Myopia Hunt Club,42.609459,-70.85841,Wenham,http://www.golfadvisor.com//courses/14971-myopia-hunt-club/,42.60921458,-70.85882771,Myopia Hunt Club,14971,//cdn.gdol.com/app/courses/image/thumb/42742.jpg,135,73.2,72,18,6539
Taconic Golf Club,42.703828,-73.2047,Williamstown,http://www.golfadvisor.com//courses/14972-taconic-golf-club/,42.70562945,-73.20177131,Taconic Golf Club,14972,//cdn.gdol.com/app/courses/image/thumb/38478.jpg,136,73.5,71,18,6808
Crystal Downs,44.736667,-86.23416,Frankfort,http://www.golfadvisor.com//courses/14974-crystal-downs-country-club/,44.70275493,-86.23483153,Crystal Downs Country Club,14974,//cdn.gdol.com/app/courses/image/thumb/56664.jpg,138,73.6,70,18,6518
Indianwood (Old),42.785471,-83.270112,Orion charter Township,http://www.golfadvisor.com//courses/14975-old-at-indianwood-golf-country-club/,42.78721774,-83.26946822,Old at Indianwood Golf & Country Club,14975,//cdn.gdol.com/app/courses/image/thumb/63556.jpg,140,74.9,70,18,6928
Hazeltine National,44.834,-93.59,Chaska,http://www.golfadvisor.com//courses/14976-hazeltine-national-golf-club/,44.83444776,-93.59149933,Hazeltine National Golf Club,14976,//cdn.gdol.com/app/courses/image/thumb/57883.jpg,155,78,72,18,7674
Interlachen,44.913744,-93.37739,Minneapolis,http://www.golfadvisor.com//courses/14977-interlachen-country-club/,44.91584916,-93.38083814,Interlachen Country Club,14977,//cdn.gdol.com/app/courses/image/thumb/37278.jpg,141,74.2,73,18,6981
Sand Hills,41.8833,-101.04,Mullen,http://www.golfadvisor.com//courses/14980-sand-hills-golf-club/,41.86626112,-101.098069,Sand Hills Golf Club,14980,//cdn.gdol.com/app/courses/image/thumb/65092.jpg,-1,-1,71,18,7089
Somerset Hills,40.72316,-74.588,Bernardsville,http://www.golfadvisor.com//courses/14981-somerset-hills-country-club/,40.72344483,-74.58824911,Somerset Hills Country Club,14981,//cdn.gdol.com/app/courses/image/thumb/63159.jpg,127,70.1,71,18,6659
Baltusrol (Lower),40.705,-74.32,Springfield Township,http://www.golfadvisor.com//courses/14983-lower-at-baltusrol-golf-club/,40.69395301,-74.33249642,Lower at Baltusrol Golf Club,14983,//cdn.gdol.com/app/courses/image/thumb/38608.jpg,147,76,72,18,7400
Baltusrol (Upper),40.705,-74.32,Springfield Township,http://www.golfadvisor.com//courses/14984-upper-at-baltusrol-golf-club/,40.70208715,-74.33086564,Upper at Baltusrol Golf Club,14984,//cdn.gdol.com/app/courses/image/thumb/38606.jpg,151,75.9,72,18,7348
Pinon Hills,36.767315,-108.176372,Farmington,http://www.golfadvisor.com//courses/14985-pinon-hills-golf-course/,36.7688329,-108.1784248,Pinon Hills Golf Course,14985,//cdn.gdol.com/app/courses/image/thumb/40358.jpg,139,73.9,72,18,7198
Garden City Golf Club,40.7322,-73.646,Garden City,http://www.golfadvisor.com//courses/14986-garden-city-golf-club/,40.72560085,-73.64347637,Garden City Golf Club,14986,//cdn.gdol.com/app/courses/image/thumb/38689.jpg,140,73.8,73,18,6911
The Creek Club,40.890167,-73.596792,Locust Valley,http://www.golfadvisor.com//courses/14987-creek-club-the/,40.88847386,-73.59673171,"Creek Club, The",14987,//cdn.gdol.com/app/courses/image/thumb/38790.jpg,133,71.7,70,18,6459
Winged Foot (West),40.9625,-73.75361,Mamaroneck,http://www.golfadvisor.com//courses/14988-west-at-winged-foot-golf-club/,40.96110426,-73.75654221,West at Winged Foot Golf Club,14988,//cdn.gdol.com/app/courses/image/thumb/38739.jpg,141,75.7,72,18,7258
Winged Foot (East),40.9625,-73.75361,Mamaroneck,http://www.golfadvisor.com//courses/14989-east-at-winged-foot-golf-club/,40.9651227,-73.75130653,East at Winged Foot Golf Club,14989,//cdn.gdol.com/app/courses/image/thumb/38737.jpg,141,73.9,72,18,6792
Oak Hill (East),43.113,-77.53,Rochester,http://www.golfadvisor.com//courses/14990-east-at-oak-hill-country-club/,43.1166482,-77.52571106,East at Oak Hill Country Club,14990,//cdn.gdol.com/app/courses/image/thumb/28994.jpg,147,76.7,71,18,7152
Quaker Ridge,40.966111,-73.76472,Scarsdale,http://www.golfadvisor.com//courses/14991-quaker-ridge-golf-club/,40.96653234,-73.76482487,Quaker Ridge Golf Club,14991,//cdn.gdol.com/app/courses/image/thumb/16189.jpg,140,74.8,70,18,7008
National Golf Links of America,40.9094,-72.45,Southampton,http://www.golfadvisor.com//courses/14992-national-golf-links-of-america/,40.91386218,-72.45220785,National Golf Links of America,14992,//cdn.gdol.com/app/courses/image/thumb/57964.jpg,141,74.3,73,18,6873
Shinnecock Hills,40.8881,-72.461,Southampton,http://www.golfadvisor.com//courses/14993-shinnecock-hills-golf-course/,40.89422948,-72.43883684,Shinnecock Hills Golf Course,14993,//cdn.gdol.com/app/courses/image/thumb/64985.jpg,140,74.7,70,18,6996
Wade Hampton,35.086795,-83.07125,Cashiers,http://www.golfadvisor.com//courses/14994-wade-hampton-golf-course/,35.09015808,-83.07503521,Wade Hampton Golf Course,14994,//cdn.gdol.com/app/courses/image/thumb/60967.jpg,145,75,72,18,7302
Linville Golf Club,36.064307,-81.8688,Linville,http://www.golfadvisor.com//courses/14995-linville-golf-club/,36.05754749,-81.86943443,Linville Golf Club,14995,//cdn.gdol.com/app/courses/image/thumb/57902.jpg,135,73.3,72,18,6959
Pinehurst (No.2),35.1895,-79.467,Pinehurst,http://www.golfadvisor.com//courses/14999-pinehurst-resort-country-club-no-2/,35.18992569,-79.46775913,Pinehurst Resort & Country Club - No. 2,14999,//cdn.gdol.com/app/courses/image/thumb/570.jpg,138,76.5,70,18,7588
Canterbury,41.469274,-81.522577,Beachwood,http://www.golfadvisor.com//courses/15003-canterbury-golf-club/,41.46952466,-81.52031697,Canterbury Golf Club,15003,//cdn.gdol.com/app/courses/image/thumb/46795.jpg,139,74.3,71,18,7012
